1.0E-7
  65527              6892146081629684000000,0000 
  65528                45162165629094830000,0000 
  65529                  295938638934332540,0000 
  65530                    1939256307072787,0000 
  65531                      12707946580246,9730 
  65532                         83276444734,0164 
  65533                           545727196,6310 
  65534                             3576313,0377 
  65535                               23436,0099 
  65536                                 152,5879 
