1.0E-7
   8092                                   1,0016 
   8093                                   1,0016 
   8094                                   1,0016 
   8095                                   1,0016 
   8096                                   1,0016 
   8097                                   1,0016 
   8098                                   1,0016 
   8099                                   1,0016 
   8100                                   1,0016 
   8101                                   1,0016 
   8102                                   1,0016 
   8103                                   1,0016 
   8104                                   1,0016 
   8105                                   1,0016 
   8106                                   1,0016 
   8107                                   1,0016 
   8108                                   1,0016 
   8109                                   1,0016 
   8110                                   1,0016 
   8111                                   1,0016 
   8112                                   1,0016 
   8113                                   1,0016 
   8114                                   1,0016 
   8115                                   1,0016 
   8116                                   1,0016 
   8117                                   1,0016 
   8118                                   1,0016 
   8119                                   1,0016 
   8120                                   1,0016 
   8121                                   1,0016 
   8122                                   1,0016 
   8123                                   1,0016 
   8124                                   1,0016 
   8125                                   1,0016 
   8126                                   1,0016 
   8127                                   1,0016 
   8128                                   1,0016 
   8129                                   1,0016 
   8130                                   1,0016 
   8131                                   1,0016 
   8132                                   1,0016 
   8133                                   1,0016 
   8134                                   1,0016 
   8135                                   1,0016 
   8136                                   1,0016 
   8137                                   1,0016 
   8138                                   1,0016 
   8139                                   1,0016 
   8140                                   1,0016 
   8141                                   1,0016 
   8142                                   1,0016 
   8143                                   1,0016 
   8144                                   1,0016 
   8145                                   1,0016 
   8146                                   1,0016 
   8147                                   1,0016 
   8148                                   1,0016 
   8149                                   1,0016 
   8150                                   1,0016 
   8151                                   1,0016 
   8152                                   1,0016 
   8153                                   1,0016 
   8154                                   1,0016 
   8155                                   1,0016 
   8156                                   1,0016 
   8157                                   1,0016 
   8158                                   1,0016 
   8159                                   1,0016 
   8160                                   1,0016 
   8161                                   1,0016 
   8162                                   1,0016 
   8163                                   1,0016 
   8164                                   1,0016 
   8165                                   1,0016 
   8166                                   1,0016 
   8167                                   1,0016 
   8168                                   1,0016 
   8169                                   1,0016 
   8170                                   1,0016 
   8171                                   1,0016 
   8172                                   1,0016 
   8173                                   1,0016 
   8174                                   1,0016 
   8175                                   1,0016 
   8176                                   1,0016 
   8177                                   1,0016 
   8178                                   1,0016 
   8179                                   1,0016 
   8180                                   1,0016 
   8181                                   1,0016 
   8182                                   1,0016 
   8183                                   1,0016 
   8184                                   1,0016 
   8185                                   1,0016 
   8186                                   1,0016 
   8187                                   1,0016 
   8188                                   1,0016 
   8189                                   1,0016 
   8190                                   1,0016 
   8191                                   1,0016 
   8192                                   1,0016 
